PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
LAPD Scientific Investigation Division | Technical Lab,Police,90013,14,completed,90013,7/17/2012,42960,35500,8/15/2012,,6/22/2015
Lafayette Park Gymnasium/Community Center,Rec+Parks,90057,10,completed,90302,8/10/2005,35000,28700,8/10/2005,4/25/2006,11/12/2010
Wilt Chamberlain Memorial Plaque,Rec+Parks,90016,10,completed,90069,8/1/2001,26450,23000,8/1/2001,N/A,7/23/2002
Los Feliz Bikeway Bridge,BIP,90039,4,completed,92104,8/1/1999,10000,9000,8/1/1999,N/A,1/23/2002
Sun Valley Fire Station No. 77,Fire,91352,7,completed,85387,7/31/2002,56000,57000,7/31/2002,8/10/2004,unknown
Northridge Fire Station No. 87,Fire,91343,12,completed,10012,7/30/2003,58434,50000,7/30/2003,2/12/2004,unknown
North Hollywood Regional Branch Library,Library,91601,2,completed,90035,7/26/2001,20000,20000,7/26/2001,8/16/2001,11/18/2002
East Valley Solid Resources [#1],Public Works,91352,6,completed,90042,2/1/2000,178000,73000,7/21/2000,11/6/2000,6/9/2004
East Valley Solid Resources [#2],Public Works,91352,6,completed,90802,2/1/2000,178000,73000,7/21/2000,11/6/2000,11/26/2003
West Valley Police Station,Police,91335,3,completed,90405,7/15/2003,175000,100450,7/15/2003,12/17/2003,3/16/2005
Fairfax Branch Library [#2],Library,90036,4,completed,90019,7/11/2009,30000,30000,7/11/2009,8/11/2009,7/27/2010
Northeast Valley Animal Care & Services Center,Animal Services,91345,7,completed,90230,7/10/2003,113800,93300,7/10/2003,10/11/2005,4/18/2007
Cabrillo Marine Aquarium,Rec+Parks,90731,15,completed,90290,7/1/2001,54000,44500,7/1/2001,12/4/2000,5/21/2007
Martin Luther King Therapeutic Center,Rec+Parks,90062,8,completed,90034,7/1/1999,8000,8000,7/1/1999,,8/1/2003
Imperial Courts Community Center,Rec+Parks,90059,15,completed,90039,7/1/1997,14000,16250,7/1/1997,8/27/1997,9/4/2002
El Sereno Recreation Center,Rec+Parks,90032,14,completed,91030,9/1/1997,30000,23000,7/1/1997,8/21/1997,2/3/2000
109th Street Pool,Rec+Parks,90050,15,completed,90039,6/30/2009,36400,18500,6/30/2009,,3/1/2011
