PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
Civic Center Fire Station No. 4,Fire,90071,14,completed,91001,1/24/2008,130000,76000,1/24/2008,n/a,1/23/2011
Encino Tarzana Branch Library,Library,91356,3,completed,90026,1/24/2001,20000,20000,1/24/2001,5/9/2001,3/12/2003
Hollywood Pool and Bathhouse,Rec+Parks,90038,13,active,90058,1/18/2012,20000,16400,1/18/2012,n/a,
Sylmar Branch Library,Library,91342,7,completed,97031,1/17/2001,20000,20000,1/17/2001,4/18/2001,9/10/2003
Woodland Hills Fire Station No. 84,Fire,91367,3,completed,90045,1/15/2008,56000,48000,1/15/2008,n/a,9/14/2009
Victory Vineland Childcare Center,Rec+Parks,91605,2,completed,91202,6/19/2001,15448,15000,1/14/2003,4/9/2004,6/28/2005
Van Nuys Field Service Building No. 3,DWP,91405,2,completed,93003,1/11/2004,45000,36900,1/13/2004,7/6/2004,8/17/2007
Lake View Terrace Branch Library,Library,91040,7,completed,90039,1/12/2001,20000,20000,1/12/2001,7/11/01;1/17/02,8/6/2003
Pio Pico Koreatown Branch Library,Library,90005,10,completed,90013,1/10/2001,20000,20000,1/10/2001,5/20/01;10/22/01,unknown
Oakwood Recreation Center,Rec+Parks,90291,11,completed,90034,7/1/1999,9100,7600,1/1/2000,11/18/99; 12/21/99,5/14/2003
Downey Child Care Center,Rec+Parks,90012,1,completed,90046,1/1/1999,9100,7600,1/1/1999,4/8/1999,5/6/1999
Algin Sutton Child Care Center,Rec+Parks,90044,8,completed,90019,9/1/1997,9100,7600,1/1/1998,3/31/1998,1/13/2000
Angeles Mesa Branch Library,Library,90043,8,completed,90037,1/1/1997,16000,16000,1/1/1997,4/9/1997,6/1/1999
West LA Parking Structure,DOT,90064,5,completed,90046,1/1/1996,37000,30000,1/1/1996,,10/20/1999
Y.O.U Alternative High School,CDD,90044,8,completed,90305,1/1/1996,30000,30000,1/1/1996,10/11/1996,7/22/2002
Junipero Serra Branch Library,Library,90037,9,completed,90019,1/1/1996,28000,28000,1/1/1996,9/21/1995,6/1/1999
Los Feliz Branch Library,Library,90027,4,completed,90232,1/1/1996,28000,28000,1/1/1996,04/28/97; 12/19/97,6/1/1999
Ahmanson Recruit Training Center,Police,90045,11,completed,90031,1/1/1995,375000,375000,1/1/1995,,2/10/1998
DWP Perimeter Picket Fence,DWP,90012,1,completed,90063,1/1/1994,99500,99500,1/1/1994,,4/1/1996
Culver Slauson Recreation Center,Rec+Parks,90230,11,active,91030,8/1/2013,11480,14000,8/1/2013,,
LADOT Bus Maintenance & CNG Facility,DOT,90012,14,active,90292,4/22/2014,172000,141040,7/1/2014,1/5/2015,
Environmental Learning Center | Hyperion Treatment Plant,BOE,90293,11,completed,90065,12/14/2007,85000,70000,2/12/2008,11/4/2009,5/26/2011
Sixth Street Viaduct,BIP,90023,14,active,90027,7/25/2012,1650000,1353000,12/15/2015,,
Gaffey Street Pool,Rec+Parks,90731,15,active,90813,11/6/2014,41000,68000,11/6/2014,9/21/2015,
Hollenbeck Police Station | Site-Specific Artwork,Police,90033,14,active,90031,7/1/2014,209947,170800,7/1/2014,5/20/2015,
Woodland Hills Recreation Center,Rec+Parks,91367,3,active,91202,4/2/2014,95000,75000,4/2/2014,8/6/2015,
Van Nuys Fire Station 39,Fire,91411,6,active,90094,9/15/2014,100000,82000,,,
F.A.A Air Traffic Control Tower,LAWA,90045,11,completed,98232,7/1/1992,68500,64000,,,10/1/1995
Chatsworth Branch Library [#1],Library,91311,12,completed,90808,1/19/2001,20000,20000,,4/2/2001,5/24/2006
John Muir Branch Library,Library,90044,8,completed,90717,11/1/1996,18750,19000,,,1/10/1998
Robertson Branch Library,Library,90035,5,completed,90046,5/1/1992,25000,25000,,2/18/93;11/22/93,3/17/1998
Harbor Police Station | Youth Apprenticeship in Public Art [YAPA],Police,90731,15,in development,tbd,tbd,89948,73758,,,
Topanga Police Station | Youth Apprenticeship in Public Art [YAPA],Police,91304,3,in development,tbd,tbd,89948,73758,,,
West Valley Police Station | Youth Apprenticeship in Public Art [YAPA],Police,91335,3,in development,tbd,tbd,89948,73758,,,
Olympic Police Station | Youth Apprenticeship in Public Art [YAPA],Police,90006,1,in development,tbd,tbd,89948,73758,,,
Emergency Operations Center | Curated Exhibition,Police,90012,14,in development,tbd,tbd,365854,300000,,,
Emergency Operations Center | Site-Specific Artwork,Police,90012,14,in development,tbd,tbd,213414,175000,,,
Emergency Operations Center | Artist-in-Residence,Police,90012,14,in development,tbd,tbd,107317,88000,,,
Rampart Police Station | Curated Exhibition,Police,90017,10,in development,tbd,tbd,195121,160000,,,
Rampart Police Station | Mural,Police,90017,10,in development,tbd,tbd,91708,75200,,,
Metro Detention Center | TBD,Police,90012,14,in development,tbd,tbd,510503,418613,,,
Metro Transport Division / Main Street Parking [MTD/MSP],Police,90013,14,in development,tbd,tbd,343984,282067,,,
Harbor Police Station | Lobby Artwork,Police,90731,15,in development,tbd,tbd,226340,185600,,,
